"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Superfície (ha)","Superfície Residencial (ha)","Densitat (hab/ha)","Densitat neta (hab/ha)"
"2021","7","Horta-Guinardó",36,"la Font d'en Fargues",9458,"65.7","38.8",144,244
"2021","7","Horta-Guinardó",37,"el Carmel",32444,"94.0","39.4",345,822
"2021","7","Horta-Guinardó",38,"la Teixonera",11926,"33.8","16.9",353,707
"2021","7","Horta-Guinardó",39,"Sant Genís dels Agudells",7249,"168.1","16.9",43,430
"2021","7","Horta-Guinardó",40,"Montbau",5071,"205.5","11.4",25,447
"2021","7","Horta-Guinardó",41,"la Vall d'Hebron",5882,"74.5","7.2",79,813
"2021","7","Horta-Guinardó",42,"la Clota",689,"17.8","6.1",39,114
"2021","7","Horta-Guinardó",43,"Horta",27707,"307.0","63.2",90,439
"2021","8","Nou Barris",44,"Vilapicina i la Torre Llobeta",25674,"56.4","29.3",455,875
"2021","8","Nou Barris",45,"Porta",27418,"83.7","35.7",328,768
"2021","8","Nou Barris",46,"el Turó de la Peira",16025,"35.4","13.3",452,1204
"2021","8","Nou Barris",47,"Can Peguera",2204,"11.9","6.1",186,359
"2021","8","Nou Barris",48,"la Guineueta",15189,"61.2","22.0",248,689
"2021","8","Nou Barris",49,"Canyelles",6797,"79.0","11.0",86,620
"2021","8","Nou Barris",50,"les Roquetes",16373,"64.3","18.2",255,897
"2021","8","Nou Barris",51,"Verdun",12727,"23.7","14.2",537,894
"2021","8","Nou Barris",52,"la Prosperitat",26669,"59.1","27.1",451,985
"2021","8","Nou Barris",53,"la Trinitat Nova",7507,"57.7","12.6",130,598
"2021","8","Nou Barris",54,"Torre Baró",2890,"174.2","21.2",17,136
"2021","8","Nou Barris",55,"Ciutat Meridiana",11026,"37.7","15.1",293,729
"2021","8","Nou Barris",56,"Vallbona",1384,"61.4","6.8",23,204
"2021","9","Sant Andreu",57,"la Trinitat Vella",10364,"80.8","12.7",128,817
"2021","9","Sant Andreu",58,"Baró de Viver",2645,"23.0","3.9",115,673
"2021","9","Sant Andreu",59,"el Bon Pastor",13582,"186.8","17.8",73,763
"2021","9","Sant Andreu",60,"Sant Andreu",57954,"186.7","76.5",310,758
"2021","9","Sant Andreu",61,"la Sagrera",29351,"98.6","38.1",298,770
"2021","9","Sant Andreu",62,"el Congrés i els Indians",14420,"40.9","19.1",352,753
"2021","9","Sant Andreu",63,"Navas",22091,"42.4","22.4",521,984
"2021","10","Sant Martí",64,"el Camp de l'Arpa del Clot",38360,"74.1","42.9",518,894
"2021","10","Sant Martí",65,"el Clot",26520,"69.7","23.4",381,1131
"2021","10","Sant Martí",66,"el Parc i la Llacuna del Poblenou",15603,"112.2","22.3",139,699
"2021","10","Sant Martí",67,"la Vila Olímpica del Poblenou",9240,"92.5","24.3",100,380
"2021","10","Sant Martí",68,"el Poblenou",33976,"156.7","45.0",217,755
"2021","10","Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",13323,"122.7","24.0",109,556
"2021","10","Sant Martí",70,"el Besòs i el Maresme",25657,"120.9","28.1",212,913
"2021","10","Sant Martí",71,"Provençals del Poblenou",20949,"108.6","15.3",193,1368
"2021","10","Sant Martí",72,"Sant Martí de Provençals",26032,"73.4","23.4",355,1111
"2021","10","Sant Martí",73,"la Verneda i la Pau",28585,"113.0","40.0",253,714
